"","X","workerid","item","slide_number","condition","language","pref1","response1","pref2","response2","pref3","response3","pref4","response4","pref5","response5","pref6","response6","pref7","response7","pref8","response8","pref9","response9","obj1","obj2","obj3","ambiguous","numFeatures","obj1OC27","obj2OC27","obj3OC27","DPost_1","DPost_2","DPost_3","DPost_4","DPost_5","DPost_6","DPost_7","DPost_8","DPost_9","MPost1_1","MPost1_2","MPost1_3","MPost1_4","MPost1_5","MPost1_6","MPost1_7","MPost1_8","MPost1_9","MPost2_1","MPost2_2","MPost2_3","MPost2_4","MPost2_5","MPost2_6","MPost2_7","MPost2_8","MPost2_9","KLDiv_1","KLDiv_2","KLDiv_3"
"1",16,1,1625,3,211112,"english","circle",0.7,"striped",0.6,"red",0.7,"solid",0.55,"blue",0.6,"cloud",0.6,"green",0.75,NA,NA,NA,NA,222,123,111,"True",7,14,22,1,0.133,0.156,NA,0.122,0.133,NA,0.133,0.156,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"2",17,1,1685,4,121212,"english","polka-dotted",0.8,"striped",0.85,"green",0.65,"square",0.85,"blue",0.85,"cloud",0.7,NA,NA,NA,NA,NA,NA,331,123,123,"False",6,9,22,22,0.149,NA,0.181,NA,0.181,0.17,0.181,NA,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"3",18,1,1291,5,111111,"english","solid",0.8,"green",0.75,"circle",0.75,"polka-dotted",0.8,"striped",0.8,"square",0.8,"red",0.85,"cloud",0.8,"blue",0.7,231,322,113,"False",9,8,15,19,0.113,0.106,0.113,0.113,0.113,0.113,0.099,0.121,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"4",19,1,384,6,122132,"english","cloud",0.75,"circle",0.85,"polka-dotted",0.8,"solid",0.75,"green",0,NA,NA,NA,NA,NA,NA,NA,NA,233,133,113,"True",5,26,25,19,0.238,0.27,NA,0.238,NA,0.254,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"5",20,1,1936,7,111212,"english","blue",0.05,"striped",0.9,"solid",0.8,"circle",0.9,"polka-dotted",0.85,"square",0.7,"red",0.75,NA,NA,NA,NA,222,311,331,"True",7,14,3,9,NA,0.182,0.141,0.162,0.182,0.172,0.01,0.152,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"6",21,1,1294,8,111111,"english","polka-dotted",0.75,"green",0.75,"circle",0.85,"red",0.7,"blue",0.8,"square",0.85,"cloud",0.7,"solid",0.75,"striped",0.7,112,323,231,"False",9,10,24,8,0.102,0.124,0.124,0.109,0.102,0.109,0.117,0.102,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"7",22,1,2049,9,322122,"english","cloud",0.85,"striped",0.75,"square",0.8,"blue",0.6,"red",0.9,NA,NA,NA,NA,NA,NA,NA,NA,322,321,122,"True",5,15,6,13,0.218,NA,0.205,NA,0.192,NA,0.154,0.231,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"8",23,1,1151,10,212232,"english","green",0.75,"cloud",0.85,"solid",0.7,"polka-dotted",0.8,"red",0.8,NA,NA,NA,NA,NA,NA,NA,NA,133,113,132,"True",5,25,19,16,0.218,NA,NA,0.179,NA,0.205,NA,0.205,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"9",24,1,922,11,212121,"english","circle",0.35,"striped",0.25,"blue",0.75,"red",0.25,"square",0.85,"polka-dotted",0.8,NA,NA,NA,NA,NA,NA,222,222,331,"False",6,14,14,9,NA,0.108,0.262,NA,0.077,0.246,0.231,0.077,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"10",25,1,1385,12,113211,"english","solid",0.8,"square",0.85,"circle",0.9,"polka-dotted",0.75,"striped",0.85,"cloud",0.65,"blue",0.1,NA,NA,NA,NA,231,311,121,"True",7,8,3,4,0.133,0.184,0.173,0.163,0.173,0.153,0.02,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"11",26,1,1783,13,322132,"english","solid",0.15,"blue",0.05,"square",0.1,"striped",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,311,321,"True",4,3,3,6,NA,NA,0.077,0.115,0.769,NA,0.038,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"12",27,1,1660,14,121212,"english","square",0.2,"solid",0.75,"cloud",0.9,"striped",0.25,"red",0.2,"green",0.85,NA,NA,NA,NA,NA,NA,113,322,322,"False",6,19,15,15,0.286,NA,0.063,0.238,0.079,NA,NA,0.063,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13",28,1,1165,15,212232,"english","red",0.65,"green",0.3,"circle",0,"striped",0.2,"solid",0.95,NA,NA,NA,NA,NA,NA,NA,NA,223,213,222,"True",5,23,20,14,NA,0,NA,0.452,0.095,NA,NA,0.31,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"14",29,1,953,16,121112,"english","circle",0.75,"green",0.85,"polka-dotted",0.7,"red",0.25,"cloud",0.75,"square",0.7,"striped",0.3,NA,NA,NA,NA,333,122,222,"True",7,27,13,14,0.174,0.174,0.163,NA,0.07,0.163,NA,0.058,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"15",30,1,1002,17,212212,"english","green",0.35,"cloud",0.8,"red",0.75,"square",0.25,"polka-dotted",0.25,"striped",0.7,NA,NA,NA,NA,NA,NA,322,333,132,"True",6,15,27,16,0.258,NA,0.081,NA,0.226,0.081,NA,0.242,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"16",31,2,2321,3,123232,"English","green",1,"striped",1,"square",0.75,"circle",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,223,223,"True",4,24,23,23,NA,0.267,0.2,NA,0.267,NA,NA,NA,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"17",32,2,2179,4,121111,"English","circle",0.6,"cloud",0.65,"solid",0.5,"polka-dotted",0.65,"green",0.2,"blue",0.2,"square",0.4,"red",0.25,NA,NA,313,232,131,"True",8,21,17,7,0.188,0.174,0.116,0.145,NA,0.188,0.058,0.072,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"18",33,2,1123,5,321212,"English","solid",0.6,"circle",0.2,"red",1,"square",0.7,"polka-dotted",0.25,NA,NA,NA,NA,NA,NA,NA,NA,232,312,312,"True",5,17,12,12,NA,0.073,0.255,0.218,NA,0.091,NA,0.364,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"19",34,2,1001,6,212212,"English","circle",0.25,"cloud",0.65,"striped",0.65,"blue",0.3,"green",0.65,"solid",0.3,NA,NA,NA,NA,NA,NA,223,121,113,"True",6,23,4,19,0.232,0.089,NA,0.107,0.232,NA,0.107,NA,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"20",35,2,1971,7,323232,"English","red",1,"polka-dotted",1,"circle",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,232,232,"False",3,17,17,17,NA,0.333,NA,NA,NA,0.333,NA,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"21",36,2,930,8,212121,"English","red",0.25,"square",0.65,"solid",0.25,"blue",0.65,"cloud",0.25,"polka-dotted",0.7,NA,NA,NA,NA,NA,NA,331,331,112,"False",6,9,9,10,0.091,NA,0.236,0.091,NA,0.255,0.236,0.091,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"22",37,2,1284,9,111111,"English","red",0.2,"cloud",0.2,"square",0.2,"green",0.2,"solid",0.2,"blue",0.2,"circle",0.2,"striped",0.2,"polka-dotted",0.2,223,111,332,"False",9,23,1,18,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"23",38,2,2082,10,321111,"English","green",1,"square",0.2,"striped",0.2,"polka-dotted",0.2,"circle",0.2,"solid",0.2,"cloud",0.25,NA,NA,NA,NA,113,333,223,"True",7,19,27,23,0.111,0.089,0.089,0.089,0.089,0.089,NA,NA,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"24",39,2,1381,11,113211,"English","red",1,"square",0.2,"polka-dotted",0.2,"circle",0.2,"cloud",0.2,"striped",0.2,"solid",0.2,NA,NA,NA,NA,332,122,212,"True",7,18,13,11,0.091,0.091,0.091,0.091,0.091,0.091,NA,0.455,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"25",40,2,1759,12,322132,"English","cloud",0.25,"circle",0.65,"red",1,"striped",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,222,122,"True",4,14,14,13,0.086,0.224,NA,NA,0.345,NA,NA,0.345,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"26",41,2,927,13,212121,"English","polka-dotted",1,"solid",0.25,"blue",1,"circle",0.25,"cloud",0.65,"green",0.25,NA,NA,NA,NA,NA,NA,131,131,213,"False",6,7,7,20,0.191,0.074,NA,0.074,NA,0.294,0.294,NA,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"27",42,2,1862,14,123212,"English","red",1,"polka-dotted",0.3,"striped",0.7,"square",0.7,"cloud",0.3,NA,NA,NA,NA,NA,NA,NA,NA,132,322,322,"True",5,16,15,15,0.1,NA,0.233,NA,0.233,0.1,NA,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"28",43,2,1554,15,322121,"English","red",0.25,"striped",0.25,"cloud",1,"blue",0.7,"polka-dotted",0.7,NA,NA,NA,NA,NA,NA,NA,NA,131,131,122,"True",5,7,7,13,0.345,NA,NA,NA,0.086,0.241,0.241,0.086,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"29",44,2,1952,16,323232,"English","polka-dotted",1,"cloud",1,"blue",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,131,"False",3,7,7,7,0.333,NA,NA,NA,NA,0.333,0.333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"30",45,2,650,17,112121,"English","polka-dotted",0.25,"blue",0.25,"red",0.7,"striped",0.25,"square",0.25,"solid",0.25,"cloud",0.75,NA,NA,NA,NA,132,122,311,"True",7,16,13,3,0.278,NA,0.093,0.093,0.093,0.093,0.093,0.259,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"31",46,3,21,3,122112,"English","blue",0.75,"square",0.3,"polka-dotted",0.3,"solid",0.8,"cloud",0.8,"red",0.25,NA,NA,NA,NA,NA,NA,132,111,311,"True",6,16,1,3,0.25,NA,0.094,0.25,NA,0.094,0.234,0.078,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"32",47,3,1663,4,121212,"English","blue",0.2,"red",0.85,"polka-dotted",0.2,"circle",0.2,"cloud",0.8,"striped",0.85,NA,NA,NA,NA,NA,NA,231,122,122,"False",6,8,13,13,0.258,0.065,NA,NA,0.274,0.065,0.065,0.274,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"33",48,3,399,5,122132,"English","circle",0.2,"blue",1,"striped",0.2,"polka-dotted",0.8,"square",0.8,NA,NA,NA,NA,NA,NA,NA,NA,231,331,321,"True",5,8,9,6,NA,0.067,0.267,NA,0.067,0.267,0.333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"34",49,3,2002,6,322122,"English","square",0.2,"solid",0.25,"red",0.95,"cloud",0.75,"striped",0.8,NA,NA,NA,NA,NA,NA,NA,NA,122,112,322,"True",5,13,10,15,0.254,NA,0.068,0.085,0.271,NA,NA,0.322,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35",50,3,1910,7,111212,"English","polka-dotted",0.25,"green",0.2,"circle",0.65,"red",0.8,"square",0.2,"striped",0.25,"solid",0.25,NA,NA,NA,NA,313,232,222,"True",7,21,17,14,NA,0.25,0.077,0.096,0.096,0.096,NA,0.308,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"36",51,3,1224,8,112112,"English","red",0.25,"circle",0.15,"green",0.8,"cloud",0.25,"polka-dotted",0.8,"solid",0.15,"square",0.2,NA,NA,NA,NA,313,233,132,"True",7,21,26,16,0.096,0.058,0.077,0.058,NA,0.308,NA,0.096,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"37",52,3,1791,9,322132,"English","polka-dotted",0.2,"cloud",1,"red",0.95,"striped",0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,122,132,"True",4,13,13,16,0.351,NA,NA,NA,0.246,0.07,NA,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"38",53,3,109,10,212111,"English","blue",0.2,"cloud",0.2,"striped",0.75,"square",0.75,"green",0.2,"red",0.25,"polka-dotted",0.2,NA,NA,NA,NA,322,321,133,"True",7,15,6,25,0.078,NA,0.294,NA,0.294,0.078,0.078,0.098,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"39",54,3,1952,11,323232,"English","polka-dotted",1,"cloud",0.95,"blue",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,131,131,"False",3,7,7,7,0.322,NA,NA,NA,NA,0.339,0.339,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"40",55,3,1530,12,322112,"English","green",0.95,"square",0.25,"cloud",0.8,"striped",0.25,"solid",0.8,NA,NA,NA,NA,NA,NA,NA,NA,123,113,313,"True",5,22,19,21,0.262,NA,0.082,0.262,0.082,NA,NA,NA,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"41",56,3,1997,13,323232,"English","cloud",0.95,"red",0.95,"solid",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,112,112,"False",3,10,10,10,0.333,NA,NA,0.333,NA,NA,NA,0.333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"42",57,3,410,14,321112,"English","blue",0.2,"solid",1,"red",0.25,"cloud",0.7,"square",0.2,"green",0.25,NA,NA,NA,NA,NA,NA,311,112,113,"True",6,3,10,19,0.269,NA,0.077,0.385,NA,NA,0.077,0.096,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"43",58,3,2227,15,323211,"English","cloud",0.25,"polka-dotted",0.95,"square",0.25,"blue",0.95,"circle",0.25,NA,NA,NA,NA,NA,NA,NA,NA,231,131,331,"True",5,8,7,9,0.094,0.094,0.094,NA,NA,0.358,0.358,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"44",59,3,1272,16,111111,"English","solid",0.2,"polka-dotted",0.2,"circle",0.2,"striped",0.2,"green",0.2,"red",0.2,"blue",0.2,"cloud",0.2,"square",0.2,122,333,211,"False",9,13,27,2,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"45",60,3,1980,17,323232,"English","blue",0.95,"cloud",1,"solid",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,111,111,"False",3,1,1,1,0.345,NA,NA,0.328,NA,NA,0.328,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"46",61,4,523,3,112132,"english","polka-dotted",0.3,"square",0.65,"red",0.8,"solid",0.55,"circle",0.75,"cloud",0.6,NA,NA,NA,NA,NA,NA,212,112,332,"True",6,11,10,18,0.164,0.205,0.178,0.151,NA,0.082,NA,0.219,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"47",62,4,1965,4,323232,"english","cloud",0.9,"blue",0.95,"solid",0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,111,111,"False",3,1,1,1,0.353,NA,NA,0.275,NA,NA,0.373,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"48",63,4,932,5,212121,"english","green",0.6,"blue",0.7,"polka-dotted",0.5,"solid",0.35,"circle",0.6,"square",0.5,NA,NA,NA,NA,NA,NA,311,311,233,"False",6,3,3,26,NA,0.185,0.154,0.108,NA,0.154,0.215,NA,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"49",64,4,1933,6,111212,"english","square",0.6,"polka-dotted",0.4,"red",0.3,"cloud",0.35,"solid",0.5,"striped",0.35,"green",0.45,NA,NA,NA,NA,122,333,313,"True",7,13,27,21,0.119,NA,0.203,0.169,0.119,0.136,NA,0.102,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"50",65,4,1078,7,113212,"english","solid",0.9,"square",0.85,"green",0.9,"circle",0.7,"striped",0.5,"cloud",0.6,NA,NA,NA,NA,NA,NA,123,213,313,"True",6,22,20,21,0.135,0.157,0.191,0.202,0.112,NA,NA,NA,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"51",66,4,1443,8,322111,"english","red",0.35,"solid",0.5,"polka-dotted",0.5,"blue",0.6,"striped",0.4,"square",0.6,NA,NA,NA,NA,NA,NA,321,331,312,"True",6,6,9,12,NA,NA,0.203,0.169,0.136,0.169,0.203,0.119,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"52",67,4,1399,9,113211,"english","striped",0.5,"red",0.65,"square",0.35,"blue",0.6,"cloud",0.5,"circle",0.35,"green",0.5,NA,NA,NA,NA,123,221,322,"True",7,22,5,15,0.145,0.101,0.101,NA,0.145,NA,0.174,0.188,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"53",68,4,1277,10,111111,"english","square",0.35,"red",0.35,"green",0.25,"circle",0.4,"striped",0.2,"blue",0.4,"polka-dotted",0.3,"cloud",0.25,"solid",0.35,331,212,123,"False",9,9,11,22,0.088,0.14,0.123,0.123,0.07,0.105,0.14,0.123,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"54",69,4,1624,11,211112,"english","red",0.2,"green",0.3,"circle",0.5,"blue",0.25,"polka-dotted",0.35,"solid",0.3,"cloud",0.35,NA,NA,NA,NA,133,231,212,"True",7,25,8,11,0.156,0.222,NA,0.133,NA,0.156,0.111,0.089,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"55",70,4,875,12,112122,"english","striped",0.25,"circle",0.4,"square",0.2,"blue",0.3,"solid",0.2,"red",0.35,"polka-dotted",0.25,NA,NA,NA,NA,322,331,212,"True",7,15,9,11,NA,0.205,0.103,0.103,0.128,0.128,0.154,0.179,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"56",71,4,916,13,212121,"english","solid",0.4,"circle",0.5,"cloud",0.5,"striped",0.25,"green",0.6,"blue",0.3,NA,NA,NA,NA,NA,NA,123,123,211,"False",6,22,22,2,0.196,0.196,NA,0.157,0.098,NA,0.118,NA,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"57",72,4,533,14,112132,"english","striped",0.35,"solid",0.5,"circle",0.3,"polka-dotted",0.2,"red",0.65,"square",0.25,NA,NA,NA,NA,NA,NA,232,222,312,"True",6,17,14,12,NA,0.133,0.111,0.222,0.156,0.089,NA,0.289,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"58",73,4,1959,15,323232,"english","polka-dotted",0.9,"red",0.95,"square",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,332,332,"False",3,18,18,18,NA,NA,0.339,NA,NA,0.321,NA,0.339,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"59",74,4,1362,16,113211,"english","green",0.4,"red",0.5,"square",0.6,"blue",0.25,"solid",0.4,"cloud",0.6,"circle",0.4,NA,NA,NA,NA,213,112,311,"True",7,20,10,3,0.19,0.127,0.19,0.127,NA,NA,0.079,0.159,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"60",75,4,1850,17,122121,"english","green",0.6,"solid",0.3,"striped",0.5,"circle",0.65,"cloud",0.4,"blue",0.7,NA,NA,NA,NA,NA,NA,221,211,113,"True",6,5,2,19,0.127,0.206,NA,0.095,0.159,NA,0.222,NA,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"61",91,6,1118,3,321212,"English","blue",0.7,"green",0.75,"cloud",0.6,"solid",0.7,"circle",0.65,NA,NA,NA,NA,NA,NA,NA,NA,211,113,113,"True",5,2,19,19,0.176,0.191,NA,0.206,NA,NA,0.206,NA,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"62",92,6,1715,4,212112,"English","square",0.7,"solid",0.8,"blue",0.65,"red",0.75,"circle",0.85,"striped",0.8,NA,NA,NA,NA,NA,NA,211,212,322,"True",6,2,11,15,NA,0.187,0.154,0.176,0.176,NA,0.143,0.165,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"63",93,6,1180,5,212232,"English","striped",0.7,"polka-dotted",0.8,"cloud",0.75,"green",0.85,"blue",0.85,NA,NA,NA,NA,NA,NA,NA,NA,131,133,121,"True",5,7,25,4,0.19,NA,NA,NA,0.177,0.203,0.215,NA,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"64",94,6,791,6,211212,"English","striped",0.8,"blue",0.7,"circle",0.75,"red",0.7,"cloud",0.85,"polka-dotted",0.65,NA,NA,NA,NA,NA,NA,131,221,222,"True",6,7,5,14,0.191,0.169,NA,NA,0.18,0.146,0.157,0.157,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"65",95,6,333,7,213211,"English","circle",0.8,"polka-dotted",0.7,"square",0.85,"blue",0.7,"cloud",0.8,"solid",0.85,NA,NA,NA,NA,NA,NA,231,331,111,"True",6,8,9,1,0.17,0.17,0.181,0.181,NA,0.149,0.149,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"66",96,6,632,8,112121,"English","blue",0.9,"solid",0.85,"square",0.8,"cloud",0.75,"green",0.8,"striped",0.65,"circle",0.8,NA,NA,NA,NA,121,321,213,"True",7,4,6,20,0.135,0.144,0.144,0.153,0.117,NA,0.162,NA,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"67",97,6,1669,9,121212,"English","green",0.85,"square",0.8,"solid",0.75,"striped",0.8,"red",0.7,"cloud",0.7,NA,NA,NA,NA,NA,NA,123,312,312,"False",6,22,12,12,0.152,NA,0.174,0.163,0.174,NA,NA,0.152,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"68",98,6,2269,10,213232,"English","striped",0.8,"cloud",0.7,"polka-dotted",0.75,"red",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,122,132,"True",4,13,13,16,0.23,NA,NA,NA,0.262,0.246,NA,0.262,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"69",99,6,945,11,212121,"English","square",0.8,"red",0.75,"cloud",0.7,"striped",0.8,"blue",0.65,"solid",0.8,NA,NA,NA,NA,NA,NA,311,311,122,"False",6,3,3,13,0.156,NA,0.178,0.178,0.178,NA,0.144,0.167,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"70",100,6,101,12,212111,"English","polka-dotted",0.9,"striped",0.85,"green",0.7,"blue",0.75,"square",0.8,"cloud",0.7,"circle",0.8,NA,NA,NA,NA,323,123,231,"True",7,24,22,8,0.127,0.145,0.145,NA,0.155,0.164,0.136,NA,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"71",101,6,2179,13,121111,"English","blue",0.85,"red",0.8,"circle",0.9,"polka-dotted",0.8,"green",0.9,"square",0.75,"cloud",0.75,"solid",0.75,NA,NA,313,232,131,"True",8,21,17,7,0.115,0.138,0.115,0.115,NA,0.123,0.131,0.123,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"72",102,6,1654,14,121212,"English","polka-dotted",0.8,"green",0.8,"circle",0.85,"solid",0.95,"cloud",0.85,"blue",0.8,NA,NA,NA,NA,NA,NA,131,213,213,"False",6,7,20,20,0.168,0.168,NA,0.188,NA,0.158,0.158,NA,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
