workerid,MUsharedother,trial_type,obj3,obj2,target,itemCode,item,MUnumchoices,slide_number,MUsharedlistenerpick,MUalign,utterance,response
0,NA,mutual_understanding,312,223,221,2diff2NA,159911,2,6,2,diff,striped,0.25
0,NA,mutual_understanding,333,133,233,3sameNANA,292451,3,7,NA,same,green,0
0,1,mutual_understanding,333,332,311,3diff11,273801,3,8,1,diff,square,0
0,NA,mutual_understanding,313,222,231,1sameNANA,122520,1,9,NA,same,blue,1
0,NA,mutual_understanding,313,322,122,2sameNANA,124310,2,10,NA,same,striped,0.3
0,1,mutual_understanding,123,133,233,3diff21,259781,3,11,2,diff,green,0
0,NA,mutual_understanding,333,313,312,2sameNANA,280110,2,12,NA,same,solid,0.35
0,NA,mutual_understanding,321,222,233,2diff1NA,238360,2,13,1,diff,circle,0.15
0,2,mutual_understanding,331,332,322,3diff12,77930,3,14,1,diff,square,0.15
0,NA,mutual_understanding,133,332,232,3sameNANA,217610,3,15,NA,same,polka-dotted,0
0,NA,mutual_understanding,221,232,333,1sameNANA,272460,1,16,NA,same,square,1
0,2,mutual_understanding,132,122,112,3diff22,53001,3,17,2,diff,cloud,0
0,NA,mutual_understanding,331,223,221,2sameNANA,157210,2,18,NA,same,striped,0.4
0,NA,mutual_understanding,213,312,322,1sameNANA,107140,1,19,NA,same,striped,1
0,NA,mutual_understanding,223,213,211,3sameNANA,171200,3,20,NA,same,circle,0
1,NA,mutual_understanding,323,133,111,2diff1NA,227701,2,6,1,diff,cloud,0.8
1,NA,mutual_understanding,213,312,311,3sameNANA,102610,3,7,NA,same,solid,0.15
1,NA,mutual_understanding,132,323,322,2sameNANA,189010,2,8,NA,same,striped,0.6
1,1,mutual_understanding,313,223,233,3diff21,255181,3,9,2,diff,green,0
1,NA,mutual_understanding,132,231,323,1sameNANA,188380,1,10,NA,same,green,0.55
1,2,mutual_understanding,322,222,122,3diff22,45422,3,11,2,diff,red,0.3
1,NA,mutual_understanding,223,212,131,1sameNANA,159100,1,12,NA,same,cloud,0.6
1,NA,mutual_understanding,313,222,231,1sameNANA,122520,1,13,NA,same,blue,0.25
1,NA,mutual_understanding,232,331,332,3sameNANA,80872,3,14,NA,same,polka-dotted,0.85
1,NA,mutual_understanding,232,133,313,2sameNANA,223050,2,15,NA,same,green,0.8
1,1,mutual_understanding,222,212,332,3diff11,76881,3,16,1,diff,red,0.6
1,NA,mutual_understanding,333,313,312,2sameNANA,280110,2,17,NA,same,solid,0.8
1,2,mutual_understanding,331,332,322,3diff12,77930,3,18,1,diff,square,0.3
1,NA,mutual_understanding,322,122,232,3sameNANA,66382,3,19,NA,same,red,0.6
1,NA,mutual_understanding,331,222,232,2diff2NA,64660,2,20,2,diff,circle,0.55
2,NA,mutual_understanding,112,312,332,2sameNANA,74461,2,6,NA,same,square,0.7
2,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,7,NA,same,square,0.8
2,NA,mutual_understanding,232,133,313,2sameNANA,223050,2,8,NA,same,green,0.9
2,NA,mutual_understanding,112,111,131,3sameNANA,9931,3,9,NA,same,cloud,0.75
2,NA,mutual_understanding,231,233,123,2diff1NA,251751,2,10,1,diff,green,0.7
2,NA,mutual_understanding,331,131,111,3sameNANA,7120,3,11,NA,same,blue,0.75
2,NA,mutual_understanding,331,231,112,1sameNANA,11980,1,12,NA,same,red,0.8
2,NA,mutual_understanding,333,112,222,1sameNANA,268730,1,13,NA,same,circle,0.85
2,2,mutual_understanding,321,123,121,3diff22,134311,3,14,2,diff,striped,0.75
2,NA,mutual_understanding,112,221,322,1sameNANA,40460,1,15,NA,same,square,0.75
2,2,mutual_understanding,132,312,212,3diff12,52022,3,16,1,diff,red,0.75
2,1,mutual_understanding,112,122,121,3diff21,25902,3,17,2,diff,cloud,0.7
2,NA,mutual_understanding,222,112,312,2diff2NA,35040,2,18,2,diff,solid,0.75
2,1,mutual_understanding,233,232,131,3diff11,242611,3,19,1,diff,polka-dotted,0.85
2,NA,mutual_understanding,333,113,223,3sameNANA,284951,3,20,NA,same,green,0.75
3,NA,mutual_understanding,122,131,321,2diff1NA,24021,2,6,1,diff,blue,0.8
3,NA,mutual_understanding,322,232,212,3sameNANA,66120,3,7,NA,same,red,0.9
3,1,mutual_understanding,321,211,131,3diff11,3181,3,8,1,diff,blue,0.7
3,NA,mutual_understanding,122,333,331,1sameNANA,267420,1,9,NA,same,blue,0.75
3,NA,mutual_understanding,311,221,232,2sameNANA,56861,2,10,NA,same,circle,0.75
3,NA,mutual_understanding,212,311,313,3sameNANA,118772,3,11,NA,same,solid,0.9
3,NA,mutual_understanding,332,312,222,1sameNANA,76930,1,12,NA,same,circle,0.7
3,2,mutual_understanding,213,233,133,3diff12,259550,3,13,1,diff,green,0.7
3,NA,mutual_understanding,321,113,112,2diff2NA,85741,2,14,2,diff,solid,0.15
3,NA,mutual_understanding,221,321,331,3sameNANA,7082,3,15,NA,same,blue,0.8
3,1,mutual_understanding,233,213,113,3diff21,248921,3,16,2,diff,green,1
3,2,mutual_understanding,211,321,311,3diff22,1250,3,17,2,diff,blue,0
3,NA,mutual_understanding,333,112,222,1sameNANA,268730,1,18,NA,same,circle,0.65
3,NA,mutual_understanding,113,232,212,2sameNANA,94600,2,19,NA,same,circle,0.6
3,NA,mutual_understanding,131,333,332,2sameNANA,274230,2,20,NA,same,square,1
4,NA,mutual_understanding,311,221,232,2sameNANA,56861,2,6,NA,same,circle,0.75
4,NA,mutual_understanding,313,131,132,1sameNANA,125150,1,7,NA,same,red,0.8
4,NA,mutual_understanding,112,111,131,3sameNANA,9931,3,8,NA,same,cloud,0.35
4,NA,mutual_understanding,133,331,311,2sameNANA,205400,2,9,NA,same,square,0.35
4,2,mutual_understanding,322,223,123,3diff12,176440,3,10,1,diff,striped,0.8
4,NA,mutual_understanding,111,232,231,2sameNANA,58130,2,11,NA,same,circle,0.2
4,NA,mutual_understanding,312,131,233,1sameNANA,236180,1,12,NA,same,green,0.35
4,NA,mutual_understanding,213,333,313,3sameNANA,280951,3,13,NA,same,green,0.3
4,1,mutual_understanding,321,323,313,3diff21,196632,3,14,2,diff,square,0.8
4,NA,mutual_understanding,213,132,122,2diff2NA,108601,2,15,2,diff,cloud,0.8
4,NA,mutual_understanding,323,332,311,3sameNANA,190900,3,16,NA,same,square,0.85
4,NA,mutual_understanding,333,322,232,2diff1NA,273450,2,17,1,diff,red,0.3
4,1,mutual_understanding,313,213,112,3diff11,132011,3,18,1,diff,solid,0.85
4,NA,mutual_understanding,331,111,213,1sameNANA,99760,1,19,NA,same,circle,0.7
4,2,mutual_understanding,131,332,331,3diff22,71442,3,20,2,diff,polka-dotted,0.45
5,2,mutual_understanding,231,332,333,3diff12,274370,3,6,1,diff,polka-dotted,0.3
5,NA,mutual_understanding,231,321,311,2sameNANA,4700,2,7,NA,same,square,1
5,NA,mutual_understanding,211,133,132,2diff2NA,213031,2,8,2,diff,cloud,0.4
5,NA,mutual_understanding,312,311,211,1sameNANA,16700,1,9,NA,same,circle,1
5,NA,mutual_understanding,323,332,311,3sameNANA,190900,3,10,NA,same,square,1
5,2,mutual_understanding,333,213,233,3diff22,291950,3,11,2,diff,green,0.15
5,1,mutual_understanding,313,312,111,3diff11,119512,3,12,1,diff,solid,0
5,NA,mutual_understanding,333,232,131,3sameNANA,272610,3,13,NA,same,polka-dotted,0.8
5,NA,mutual_understanding,113,312,211,3sameNANA,87210,3,14,NA,same,solid,0.8
5,NA,mutual_understanding,332,223,113,2sameNANA,171050,2,15,NA,same,green,0.95
5,NA,mutual_understanding,331,323,133,2diff1NA,228580,2,16,1,diff,green,0.15
5,1,mutual_understanding,222,121,321,3diff21,29940,3,17,2,diff,striped,0.25
5,NA,mutual_understanding,123,121,322,1sameNANA,142430,1,18,NA,same,square,1
5,NA,mutual_understanding,232,133,313,2sameNANA,223050,2,19,NA,same,green,0.95
5,NA,mutual_understanding,332,331,123,1sameNANA,147480,1,20,NA,same,green,1
6,2,mutual_understanding,131,232,231,3diff22,58740,3,6,2,diff,polka-dotted,0.75
6,NA,mutual_understanding,232,111,311,2sameNANA,56141,2,7,NA,same,solid,0.25
6,NA,mutual_understanding,212,311,133,1sameNANA,207170,1,8,NA,same,polka-dotted,0.7
6,NA,mutual_understanding,133,231,222,2diff1NA,210930,2,9,1,diff,circle,0.3
6,2,mutual_understanding,323,311,312,3diff12,182832,3,10,1,diff,square,0.7
6,NA,mutual_understanding,133,222,322,2diff2NA,212840,2,11,2,diff,striped,0.25
6,NA,mutual_understanding,112,221,322,1sameNANA,40460,1,12,NA,same,square,0.65
6,NA,mutual_understanding,223,133,123,3sameNANA,227620,3,13,NA,same,green,0.7
6,NA,mutual_understanding,232,122,322,3sameNANA,66351,3,14,NA,same,red,0.3
6,NA,mutual_understanding,333,113,121,2sameNANA,275600,2,15,NA,same,cloud,0.6
6,NA,mutual_understanding,322,232,212,3sameNANA,66120,3,16,NA,same,red,0.35
6,NA,mutual_understanding,313,132,123,1sameNANA,153570,1,17,NA,same,striped,0.75
6,1,mutual_understanding,112,122,121,3diff21,25902,3,18,2,diff,cloud,0.65
6,1,mutual_understanding,233,232,131,3diff11,242611,3,19,1,diff,polka-dotted,0.4
6,NA,mutual_understanding,211,232,331,2sameNANA,58940,2,20,NA,same,polka-dotted,0.65
7,NA,mutual_understanding,321,211,113,1sameNANA,82780,1,6,NA,same,green,1
7,NA,mutual_understanding,213,132,133,2diff2NA,221070,2,7,2,diff,polka-dotted,0.5
7,NA,mutual_understanding,121,322,321,2sameNANA,37730,2,8,NA,same,square,0.5
7,NA,mutual_understanding,232,233,333,3sameNANA,291672,3,9,NA,same,polka-dotted,0
7,NA,mutual_understanding,333,111,312,2sameNANA,265541,2,10,NA,same,solid,0.5
7,1,mutual_understanding,323,122,121,3diff21,184011,3,11,2,diff,striped,0
7,NA,mutual_understanding,333,112,131,2diff1NA,264201,2,12,1,diff,cloud,0.5
7,2,mutual_understanding,121,311,331,3diff12,6181,3,13,1,diff,blue,0
7,NA,mutual_understanding,331,321,221,3sameNANA,7020,3,14,NA,same,blue,0
7,2,mutual_understanding,112,322,312,3diff22,42852,3,15,2,diff,red,0
7,NA,mutual_understanding,231,333,133,3sameNANA,288341,3,16,NA,same,polka-dotted,0
7,NA,mutual_understanding,331,111,213,1sameNANA,99760,1,17,NA,same,circle,1
7,NA,mutual_understanding,111,322,232,1sameNANA,65170,1,18,NA,same,polka-dotted,1
7,NA,mutual_understanding,112,231,132,2sameNANA,49871,2,19,NA,same,polka-dotted,0.5
7,1,mutual_understanding,221,121,323,3diff11,178070,3,20,1,diff,striped,0
8,NA,mutual_understanding,112,111,131,3sameNANA,9931,3,6,NA,same,cloud,0.4
8,1,mutual_understanding,221,121,323,3diff11,178070,3,7,1,diff,striped,0.7
8,NA,mutual_understanding,232,331,332,3sameNANA,80872,3,8,NA,same,polka-dotted,0.9
8,2,mutual_understanding,333,213,233,3diff22,291950,3,9,2,diff,green,0.8
8,NA,mutual_understanding,133,232,312,1sameNANA,215500,1,10,NA,same,square,1
8,NA,mutual_understanding,222,132,331,2sameNANA,54110,2,11,NA,same,polka-dotted,0.95
8,NA,mutual_understanding,331,213,111,2sameNANA,99710,2,12,NA,same,solid,0.85
8,1,mutual_understanding,221,222,212,3diff21,33532,3,13,2,diff,circle,0.2
8,NA,mutual_understanding,231,221,223,3sameNANA,156562,3,14,NA,same,circle,0.7
8,NA,mutual_understanding,131,321,223,1sameNANA,156060,1,15,NA,same,circle,0.75
8,NA,mutual_understanding,111,232,231,2sameNANA,58130,2,16,NA,same,circle,0.3
8,NA,mutual_understanding,223,132,331,2diff1NA,165311,2,17,1,diff,polka-dotted,0.65
8,NA,mutual_understanding,123,213,231,1sameNANA,150810,1,18,NA,same,polka-dotted,0.75
8,NA,mutual_understanding,312,223,221,2diff2NA,159911,2,19,2,diff,striped,0.65
8,2,mutual_understanding,132,222,322,3diff12,55952,3,20,1,diff,red,0.75
